"crashid","OnLocStreet","AtLocStreet"
"0050017736","CRD SINCLAIR RD","CST MURFIELD DR"
"0050017843","CST GRINDSTONE PKWY","CST FALLING LEAF LN"
"0050017873","CST GARTH AVE","CST GARTH CT"
"0050018257","CST CREASY SPRINGS","CST PROCTOR"
"0050017714","CST BLUE RIDGE","CST RANGE LINE ST N"
"0050017719","CST EL CORTEZ","CST BETHEL"
"0050017863","CST COOPER DR","CST BUTTONWOOD DR"
"0050017864","CST RASHID CT","CST PRIMROSE DR"
"0050017880","CST VANDIVER DR","CST WABASH ST"
"0050018744","CST TENTH ST","CST PARK AVE"
"0050018782","CST VANDIVER","MO 163"
"0050018752","CRD CREASY SPRINGS RD","CST PROCTOR ST"
"0050018777","CST PARIS RD","CST ANN ST N"
"0050017876","CST DOVE DR","CST ELK DR"
"0050017884","CST OAKLAND","CST BROWN SCHOOL"
"0050017731","CST PARKADE BLVD","CST GARTH"
"0050017662","CST BLACKFOOT","UNKNOWN"
"0050017842","CST BUTTONWOOD DR","CST COOPER DR"
"0050017865","CST HICKMAN AVE","CST SEVENTH ST"
"0050018250","CST WILKES BLVD","CST FAIRVIEW AVE"
"0050018275","CST HAMILTON WAY","CST HITT ST"
"0050018751","CST RALEIGH DR","CST CITADEL"
"0050021177","CST OLD MILL CREEK RD","CRD OLD MILL CREEK TER"
"0050018737","CST ST JOSEPH ST","CST ASH ST"
"0050017879","CST ELLETA BLVD","CST JOLENE DR"
"0050018721","CST LAWNRIDGE CT","CST BROWN STATION RD"
"0050018805","CST FORUM","CST MILLS"
"0050024004","CST FORUM BLVD","CST MILLS DR"
"0050024029","CST LOCUST ST","CST NINTH ST S"
"0050024006","CRD CREASY SPRINGS RD","PP CREASY SPRINGS RD"
"0050024033","CRD NIKKI WAY","CST RENEE WAY"
"0050023954","CST HAMPTON DR","CST ROYAL LYTHAM DR"
"0050024001","CST NIFONG","CST SCOTT BLVD"
"0050027536","CST ROCK QUARRY RD","CST GRINDSTONE PKWY"
"0050027677","CST SANFORD AVE","UNKNOWN"
"0050024005","CST BULL RUN RD","CST ST CHARLES RD"
"0050024022","CST FORUM BLVD","CST SHORESIDE LN"
"0050028208","CST CONLEY RD","CST TRIMBLE RD"
"0050027666","CRD BEARFIELD RD","CST GRINDSTONE PKWY"
"0050024021","CST GRINDSTONE","CST ROCK QUARRY"
"0050024037","CST GRINDSTONE PKWY","CST ROCK QUARRY RD"
"0050027664","CST ASH ST","CST BUCKNER ST"
"0050027672","CRD BROWN SCHOOL RD","CST ROGER WILSON DR"
"0050027716","CST KEENE","CST WINGATE CT"
"0050024036","CST GRINDSTONE PKWY","CST ROCK QUARRY RD"
"0050028215","CST STRAWN RD","CST BROADWAY ST"
"0050028851","CST CHAMPIONS DR","CST STADIUM BLVD"
"0050026776","CST GRINDSTONE PKWY","CST PONDEROSA DR"
"0050027670","ALY TENTH ST","CST BROADWAY E"
"0050027728","CST WILKES","CST PANNELL"
"0050027535","CST GREEN MEADOWS CIR","CST GREEN MEADOWS RD"
"0050027663","CST OLD HIGHWAY 63","MO 740"
"0050027678","CST NEW HAVEN","CST WARREN"
"0050027722","CST VANDIVER","CST RANGE LINE"
"0050030122","CRD CALVERT HILL RD","CRD COKIES"
"0050027673","CRD BROWN SCHOOL RD","CST EDENTON BLVD"
"0050027675","CST WACO RD","RT B"
"0050027724","CST CARTER LN","CST CAMPUSVIEW DR"
"0050028209","CST NINTH ST","ALY ALLEY"
"0050028852","CST KENTUCKY BLVD","CST CURTIS ST"
"0050035656","CST BROWN SCHOOL RD","CST DERBY RIDGE DR"
"0050035659","CST BEARFIELD RD","CST HOLLOWRIDGE CT"
"0050035580","CST ROLLINS ST","CST HITT ST"
"0050035440","CST DERBY RIDGE","CST BOLD RULER CT"
"0050035671","CST SMILEY LN","CST DERBY RIDGE DR"
"0050035719","CST BROWN STATION RD","CST WILDALE CT"
"0050035681","CST ELLETA BLVD","CST JOLENE DR"
"0050035724","CST ROCK QUARRY RD","CST GRINDSTONE PKWY"
"0050034803","CRD LIDDELL LN","RT Z"
"0050035469","CST BETHEL ST","CST SOUTHAMPTON DR"
"0050035687","CST KATY LN","CST LIMERICK LN"
"0050032252","CRD WADE SCHOOL RD","CRD CUNNINGHAM DR"
"0050035435","CST ROCK QUARRY RD","CST GRINDSTONE PKWY"
"0050040859","CST WORLEY ST","PP WORLEY ST W"
"0050041147","CST SYLVAN LN","CST WHITEGATE DR"
"0050038792","CRD CLATTERBUCK RD","CST RANGELINE"
"0050034222","CST VANDIVER","CST VANWOOD"
"0050035694","CST OLD HWY 63","CST VALLEY VIEW RD"
"0050040827","CST ASH ST","MO 740"
"0050039879","CST ST CHARLES RD","CRD DOZIER STATION RD"
"0050040601","CRD O NEAL RD","CRD AKEMAN BRIDGE RD"
"0050035462","CST CLARK LN","CST EASTWOOD DR"
"0050040831","CST SMILEY LN","CST RANGELINE ST"
"0050040836","CST BUCKNER ST","CST ASH ST W"
"0050035722","CST GRINDSTONE PKWY","CRD BEARFIELD RD"
"0050040846","CST PARK","CST EIGHTH"
"0050041129","CST PROCTOR","CST BEARCREEK"
"0050041145","CST FORUM","CST MILLS DR"
"0050040874","CST CARRIERIDGE","CRD NIKKI WAY"
"0050041131","CST CONLEY RD","CST BRICKTON"
"0050041116","CST GRINDSTONE PKWY","CST BLUFF CREEK DR"
"0050041144","CST BLUE RIDGE","CST OAKLAND GRAVEL"
"0050049916","CST DEER ST","CST SMILEY LN"
"0050040833","CRD BETHANY DR","CST SCOTT BLVD"
"0050041133","CST ROCK QUARRY","CST GRINDSTONE PKWY"
"0050050707","CST ASHLAND RD","CST BURCH DR"
"0050049904","CST UPLAND CREEK","CST KIRK HILL"
"0050049914","CST ROCK QUARRY RD","CST GRINDSTONE PKWY"
"0050048117","CST HICKMAN","CST SEVENTH ST"
"0050053893","CRD OLD MILL CREEK","RT KK"
"0050049898","CST BERNADETTE","PVT BERNADETTE"
"0050054702","CST BROWN SCHOOL RD","CST OAKLAND GRAVEL"
"0050054726","CST BLUE RIDGE RD","CST OAKLAND GRAVEL RD"
"0050053140","CST BLUE RIDGE RD","CST DOVE DR"
"0050053191","CST CREASY SPRINGS","CST TEXAS"
"0050055829","PP PROVIDENCE RD","UNKNOWN"
"0050049103","CST ROLLINS RD","CST MARYLAND AVE"
"0050049901","CST BLUE RIDGE","MO 763"
"0050055336","CRD WESTLAKE RD","CRD MEYERSON RD"
"0050053116","CST VANDIVER DR","CST CORPORATE PL"
"0050053181","CST TELLURIDE LN","CST ROCK QUARRY RD"
"0050053198","CST GARTH","CST FOREST AVE E"
"0050053205","CST FORUM BLVD","CST MILLS DR"
"0050053119","CST ST CHARLES","CST BULL RUN"
"0050053171","CST CHAPEL HILL RD","CST CHAPEL PLAZA"
"0050054729","CST ROCK QUARRY RD","CST GRINDSTONE PKWY"
"0050054675","CST SCOTT BLVD","CST SOUTHVIEW DR"
"0050049885","CST SEVENTH","LP 70"
"0050053127","CST PARKER ST","CST KITTY HAWK DR"
"0050053146","CST BRICKTON RD","RT WW"
"0050053160","CST STADIUM BLVD","PP STADIUM BLVD"
"0050053162","CST FORUM","CST NIFONG"
"0050054795","CST LONGFELLOW","CST ROCK CREEK DR"
"0050055964","CST BROWN STATION RD","CST BROWN STATION RD"
"0050054715","CST BRICKTON RD","CST BROADWAY"
"0050051401","CRD OAKLAND GRAVEL RD","CRD ALFALFA DR"
"0050061518","CST BOLD RULER CT","CST DERBY RIDGE RD"
"0050051799","CST HITT ST","PP HITT ST"
"0050055960","CST BROADWAY","CST WEST PKWY"
"0050060045","CST WORLEY ST","CST WEST BLVD"
"0050053176","CST HANOVER","CST HERSHEY CT"
"0050053215","CST BRICKTON RD","CST BROADWAY"
"0050053172","CST VANDIVER DR","MO 163"
"0050053230","CRD PONDEROSA ST","CST GRINDSTONE PKWY"
"0050060159","CST SEVENTH ST","CST 7TH ST"
"0050058834","CST BROADWAY","CST GARTH AVE"
"0050054677","CST BERNADETTE","MO 740"
"0050054735","CST CITADEL","CST RALEIGH"
"0050054754","CST SCOTT BLVD","CST CURRENT DR"
"0050060152","CST LEE","CST BOUCHELLE"
"0050055658","CRD LAKE OF THE WOODS RD","CST LOCUST GROVE DR"
"0050062851","CST ROCK QUARRY RD","CST SCARBOROUGH DR"
"0050066326","CRD PRATHERSVILLE RD","CRD ROGER I WILSON DR"
"0050062892","CST CLARK LN","CST CREEKWOOD PKWY"
"0050063649","CST SINCLAIR","CST CASCADES"
"0050061523","CST SEXTON RD","LP 70 W"
"0050067790","CST BROADWAY","CST ROCK HILL"
"0050055783","CRD PURDY LN","CST I - 70 DR S"
"0050055815","CST RICHMOND AVE","CST BURNAM RD"
"0050055957","CST DERBY RIDGE","CST RIVA RIDGE CT"
"0050062866","CST GRINDSTONE PKWY","CST BEARFIELD"
"0050065638","CST GRINDSTONE PKWY","CST BEARFIELD RD"
"0050065690","CST WORLEY ST","CST MCBAINE AVE"
"0050068773","CST BERNADETTE","CST FAIRVIEW"
"0050063630","CRD VAWTER SCHOOL RD","CST SPRING CREEK"
"0050065696","CST ROCK QUARRY RD","CST GRINDSTONE PKWY"
"0050066183","CRD ALFALFA DR","CRD OAKLAND GRAVEL RD"
"0050067792","CST BLUE RIDGE RD","CST DOVE DR"
"0050066759","CST HANOVER BLVD","CST HERSHEY CT"
"0050060049","CST KEENE","CST WINGATE"
"0050065623","CST SNOWY OWL","CST ARCTIC FOX"
"0050065687","CST FALLING LEAF","CST GRINDSTONE"
"0050067779","CST DOVE DR","CST BLUE RIDGE RD"
"0050060050","CST RANGELINE","IS 70 E"
"0050066761","CST ROCK QUARRY RD","CST GRINDSTONE PKWY"
"0050061275","CST CONLEY AVE","PVT MISSOURI AVE"
"0050061506","CST ST CHARLES RD","CST KIPLING WAY"
"0050073178","CST GRINDSTONE PKWY","CST ROCK QUARRY"
"0050062890","CRD GRANT LN","CST CHAPEL HILL RD"
"0050074433","CST BERNADETTE BLVD","CST KNIPP ST"
"0050074494","CST FAIRVIEW","CST BERNADETTE"
"0050062602","CRD CALVERT HILL RD","CRD COKIES RD"
"0050062886","CST PEACHTREE DR","CST PROVIDENCE OUTER RD"
"0050069998","CST EIGHTH ST","CST LYON ST"
"0050062852","CST SCOTT BLVD","CRD VAWTER SCHOOL RD"
"0050073164","CST FORUM","CST MILLS"
"0050073189","CST VANDIVER DR","CST BURLINGTON DR"
"0050074481","CST ROCK QUARRY","CST GRINDSTONE PKWY"
"0050074483","PP ROCK QUARRY","UNKNOWN"
"0050074497","CST ARLENE","CRD GILLESPIE RD"
"0050074499","CST VANDIVER DR","CST WESTFALL DR"
"0050074518","CST VANDIVER","CST OAKLAND GRAVEL"
"0050065636","CST OLD HWY 63","CST VALLEY VIEW"
"0050065691","CST SILVEY ST","WOR 70"
"0050065718","CST ROCK QUARRY","CST ROLLING ROCK"
"0050067774","CST SEVENTH ST","LP 70 E"
"0050065715","CST DUNCAN","CST MCBAINE"
"0050073153","CST BROADWAY ST","CST WESTRIDGE DR"
"0050067777","CST GARTH","CST SEXTON W"
"0050074432","CST BLUFF CREEK DR","CST GRINDSTONE PKWY"
"0050074472","CST WALNUT ST","CST OLD HWY 63"
"0050073190","PP TENTH ST","CST ASH ST E"
"0050074437","CRD PONDEROSA ST","RT AC"
"0050074445","CST WORLEY ST","CST FAIRVIEW RD"
"0050074509","CST BUCKNER ST","CST ASH ST W"
"0050074511","CST GRINDSTONE PKWY","CST GREEN MEADOWS RD E"
"0050073156","CST SCOTT BLVD","CST HARTFIELD"
"0050073162","CST OLD HWY 63","CRD BEARFIELD RD"
"0050073179","CST PRESCOTT DR","PP PRESCOTT DR"
"0050074429","CST NINTH ST","CST TENTH ST"
"0050074431","CST FORUM BLVD","CST MILLER DR"
"0050074475","CST QUAIL DR","CST HILLSIDE DR"
"0050074480","CST FAY ST","CST WILKES BLVD"
"0050083086","CST MARYLAND","PVT HOSPITAL DR"
"0050076507","CST ROGERS","CST TENTH"
"0050084679","CST UNIVERSITY","UNKNOWN"
"0050084696","CST GRINDSTONE PKWY","CST FALLING LEAF"
"0050085212","CST ROCK QUARRY","CST STADIUM"
"0050084712","CST VANDIVER DR","CST WESTFALL"
"0050073960","CST HITT ST","PVT VIRGINIA AVE"
"0050085218","CST WORLEY ST","PVT COLUMBIA MALL DR"
"0050077559","CST ASHLAND RD","PP CAMPUS LOOP"
"0050087729","CST VANDIVER","CST OAKLAND GRAVEL"
"0050087739","CST GREEN MEADOWS RD","CST GREEN MEADOWS CIR"
"0050086086","RT AC","CST BETHEL ST"
"0050086111","CST FORUM BLVD","CST MILLS DR"
"0050078961","CRD MILLBROOK DR","CRD SPURGEON CT"
"0050079863","CST THORNBROOK RIDGE","CST LARGO DR"
"0050080176","CST ST CHARLES RD","CRD GLENDALE DR"
"0050076892","CST HITT ST","CST ROLLINS RD"
"0050076894","CST ROLLINS ST","CST MARYLAND AVE"
"0050083085","CST NINTH","CST ELM"
"0050084725","CST HOLLY","CST GLENN"
"0050085171","CST GRINDSTONE PKWY","CST BLUFF CREEK"
"0050084702","CST EIGHTH ST","CST ROGERS ST"
"0050085172","CST SCOTT","CST SMITH"
"0050085220","CST CHELAN CIR","CST CASCADE DR"
"0050085620","CST GRINDSSTONE PKWY","CST NIFONG BLVD"
"0050085619","CST VANDIVER DR","CST ALAN LN"
"0050085628","CST STADIUM","CST WORLEY"
"0050084673","CST BRICKTON RD","UNKNOWN"
"0050084688","CST NINTH ST","UNKNOWN"
"0050086084","CST LENOIR","CST NEW HAVEN"
"0050084732","CST FOREST","CST GARTH"
"0050084683","CST PROVIDENCE RD","CST OLD PLANK RD"
"0050086083","CST GRINDSTONE PKWY","CST FALLING LEAF"
"0050085203","CRD BROWN SCHOOL RD","CST OAKLAND GRAVEL"
"0050085205","CST BROADWAY","CST PARKWAY W"
"0050085221","CST CLARK","CST CREEKWOOD"
"0050085629","CST PARIS RD","CST SANDIFER"
"0050085627","CST FORUM BLVD","CST CANTERBURY DR"
"0050087708","RT TT","CST ESTER LEE CT"
"0050087298","CST THIRD AVE","CST GARTH AVE S"
"0050087302","CRD BEARFIELD RD","CST GRINDSTONE PKWY"
"0050087744","CST VANDIVER RD","CST COMMERCE CT"
"0050086112","CST ASH ST","CST EIGHTH ST"
"0050087727","CST BROWN STATION RD","CST WILDALE CT"
"0050088095","CST STADIUM","CST BLACKFOOT"
"0050087297","CST THORNBROOK RIDGE","CST CANTER CT"
"0050087723","CST FORUM","CST ROYAL BIRKDALE"
"0050087736","CST CHAPEL HILL","CST GRANT"
"0050087977","CST PARKER","CST KITTY HAWK DR"
"0050085188","CST BARBERRY","CST GRAYSON"
"0050085219","CST PARIS","CST WHITEGATE"
"0050099416","CRD BROWN SCHOOL RD","CST ROGER I WILSON MEMORIAL"
"0050099442","CST RICE","CST CAROL"
"0050099451","CST BROADWAY","CST SEVENTH N"
"0050086110","CST CLARK","CST VALLEY CREEK"
"0050090791","CRD EL CHAPARRAL","CRD VICTORIA"
"0050087284","CST FAIRVIEW","CST JOHNSON ST"
"0050099407","CST ARCTIC FOX DR","CST SMILEY"
"0050099447","CST BRICKTON","CST BROADWAY"
"0050099463","CST FORUM","CST CANTERBURY"
"0050099474","CST HICKMAN AVE","CST SEVENTH ST"
"0050100385","CST SCOTT","CST CEDAR CREST"
"0050100701","CST LAKE TOWN","CST BIG SUR"
"0050098349","CST THORNBROOK PKWY","CST LAREDO TRL"
"0050099434","CST ROCK QUARRY","CST HINKSON CREEK"
"0050102817","CST MOHAWK AVE","CST AZTEC BLVD"
"0050098354","CST BUTTONWOOD","CST CARTER"
"0050100467","CST BERNADETTE DR","MO 740 N"
"0050094538","CST SPRINGDALE DR","CST OAKLAND GRAVEL RD"
"0050100381","CST BERNADETTE DR","CST ASH ST W"
"0050099398","CST ZINNIA","CST HIBISCUS"
"0050099413","CST SPRING VALLEY RD","CST CROWN POINT"
"0050099430","CST BODIE","CST EDENTON"
"0050100391","CST OAKLAND GRAVEL RD","CST SMILEY LN"
"0050100586","CRD CREASY SPRING RD","CRD ROEMER RD"
"0050102815","CRD OLD PLANK RD","CST CAMPUS DR"
"0050107263","CST BEARFIELD","CST GRINDSTONE PKWY"
"0050107270","CST HINKSON CREEK","CST WYATT"
"0050109211","CST GILLESPIE BRIDGE","CST SWINDON"
"0050099444","CST GRINDSTONE PKWY","CST FALLING LEAF"
"0050107219","CST KEENE","CST LANSING AVE"
"0050107268","CST LOCUST ST","CST 6TH ST"
"0050100470","CST SEVENTH","CST HICKMAN"
"0050100479","CST ROCK QUARRY RD","PP ROCK QUARRY RD"
"0050107318","CST BROADWAY","CST BROADFIELD DR"
"0050107319","CST VAWTER SCHOOL","CST FOX CREEK"
"0050107322","CST FORUM BLVD","CST MILLS DR"
"0050098355","CST HIGHLAND PKWY","CST STONEHAVEN RD"
"0050100702","CST TENTH ST","CST PARK AVE"
"0050101000","CRD BROWNS STATION RD","CRD KETTERER RD"
"0050109034","CST FORUM BLVD","CST FORUM PLAZA"
"0050109175","CST BALLENGER LN","CST RICE RD"
"0050099473","CST ASH ST","CST BUCKNER ST"
"0050099989","PVT UNIVERSITY LOT WG1","CST MARYLAND AVE N"
"0050112315","CST RICHMOND AVE","CST BURNAM ST"
"0050100696","CRD OLD PLANK RD","CST GLASGOW DR"
"0050107247","CST GARTH AVE","CST CRESTMERE ST"
"0050107250","CST PIMLICO CT","CRD BEARFIELD RD"
"0050107254","CST BROADWAY","CST PARKWAY"
"0050107259","CST PARIS","CST COURT ST"
"0050107278","CST CONLEY","CST BRICKTON RD"
"0050101680","CST PEACHTREE DR","CST PEACH CT"
"0050113223","CRD BETHEL CHURCH RD","CRD OLD PLANK RD"
"0050108998","CST GRINDSTONE PKWY","CST CHURCHILL DR"
"0050115221","CRD BAINBRIDGE LN","CRD BRAMPTON DR"
"0050107237","CST GRINDSTONE PKWY","CRD BEARFIELD RD"
"0050107301","CST BRICKTON","CST CONLEY"
"0050118491","CST ST CHARLES RD","IS 70"
"0050118736","CST BROADWAY ST","CST PARKWAY DR W"
"0050118744","CST FORUM BLVD","CRD OLD PLANK RD W"
"0050110838","CST ROLLINS ST","CST HITT ST"
"0050119112","RT TT","CST CURRENT"
"0050111489","CRD LAPORTE AVE","CRD HELLER DR"
"0050118777","CST HITT ST","CST ROLLINS"
"0050119116","CST DAY FLOWER CT","CST SHAD BUSH DR"
"0050120398","CST PROVIDENCE","CST CHAMPION DR"
"0050109219","CST GILLESPIE BRIDGE","CST LIMESTONE"
"0050110077","CST BRICKTON","RT WW"
"0050113115","MO 163","CST TEXAS"
"0050107229","CST SCOTT BLVD","CRD SOUTHVIEW DR"
"0050107266","CST SCOTT BLVD","CST LUDWIG"
"0050107289","CST FALL RIVER DR","CST ROYAL BIRKDALE"
"0050120416","CST BROWN SCHOOL","CST NATHANIEL"
"0050120443","CST MANHATTAN","CST UMC"
"0050118734","CST FORUM BLVD","CST KATY LN"
"0050119114","CST CHAPEL HILL RD","CST CHAPEL RIDGE RD"
"0050119225","CST CREEKWOOD PKWY","RT PP"
"0050121946","CST WALNUT","CST ORR"
"0050109010","CST CONLEY","US 63C"
"0050109012","CST BRAEMORE RD","CST HEATHER LN S"
"0050109191","CST LOCUST","CST NINTH"
"0050115220","CRD HIGH POINT LN","CRD HILL CREEK RD"
"0050122787","CST BASS PRO","CST CENTERSTATE"
"0050124875","CST RICHMOND AVE","CST ROLLINS ST"
"0050116021","CRD JUDY SCHOOL RD","RT Z"
"0050116041","CST BLUE BIRD LN","RT N S"
"0050126072","CRD HIGH POINT LN","CRD TURTLE CREEK LN"
"0050122794","CST GRINDSTONE PKWY","CST ROCK QUARRY"
"0050124971","CST GRINDSTONE","CST BEARFIELD"
"0050111488","CRD BOATMAN HILL RD","CRD CALVERT HILL RD"
"0050126768","CRD OLD MILL CREEK RD","CRD MILL CREEK CT"
"0050126769","CRD BOWLING LN","CST RANGELINE"
"0050119126","CST WACO RD","RT B"
"0050119133","CST BASS PRO DR","CST RESTAURANT ROW"
"0050119135","CST DERBY RIDGE","CST HIGH QUEST CIR"
"0050119199","PVT CAMPUSVIEW APTS","PVT CAMPUSVIEW APTS"
"0050120399","CST OLD HWY 63","CST STONE HILL DR"
"0050120412","CST CONLEY RD","CST BRICKTON RD"
"0050120429","CST ROCK QUARRY","CST ROLLING ROCK"
"0050119113","CST SEXTON RD","CST MCBAINE AVE"
"0050120956","CRD MCGEE RD","CRD TODD RD"
"0050122811","CST PARKLAWN CT","CST TEXAS"
"0050121224","CST ROLLINS ST","CST RICHMOND AVE"
"0050122748","CST FORUM BLVD","CST KATY LN"
"0050122768","CST BIG BEAR","CST RANGE LINE ST"
"0050123501","CST 6TH ST","CST STEWART RD"
"0050122795","CST ROCK QUARRY","CST GRINDSTONE PKWY"
"0050130840","CST GREEN MEADOWS PKWY","CST PONDEROSA"
"0050130843","CST BLUFF CREEK DR","CST GRINDSTONE PKWY"
"0050123174","CST HITT ST","PP HITT STREET VISITORS PKLT DR"
"0050131519","CST BERNADETTE DR","CST WORLEY ST W"
"0050122766","CST GREENSBORO DR","CST CURRITUCK"
"0050122800","CST BROWN STATION RD","RT B"
"0050124988","CST GRINDSTONE PKWY","CST FALLING LEAF"
"0050134058","CST COLLEGE AVE","CST ASHLAND RD"
"0050124968","CST GRINDSTONE PKWY","CST ROCK QUARRY"
"0050134007","CST CONLEY","US 63C"
"0050134051","CST WOOD HOLLOW","CST WOOD DALE"
"0050126767","CRD DONORA DR","CRD MESA DR"
"0050120401","CST PARIS RD","CST HINKSON AVE"
"0050120403","CST RANGE LINE","CST SAFARI"
"0050120439","CST JACKSON ST","CRD CREASY SPRINGS RD"
"0050120456","CST BEARFIELD","CST NORTHAMPTON"
"0050131479","CST BROADWAY","CST MCBAINE"
"0050131504","CRD BEARFIELD RD","CST GRINDSTONE PKWY"
"0050135622","CST ROLLINS ST","CST HITT"
"0050131912","CST MARYLAND AVE","PVT HOSPITAL"
"0050122736","CST COLLET AVE","CST BROADWAY E"
"0050131492","CST KELSEY DR","CST IRMA DR"
"0050131525","CST MONTEREY","CST MONTEREY"
"0050130832","CST ROCK QUARRY RD","CST ROLLING ROCK"
"0050131481","CST GODAS CIR","PP GODAS CIR"
"0050136633","CST BLUE RIDGE RD","CST PIRANHA CT"
"0050136990","CRD CREASY SPRINGS RD","CRD PRAIRIE LN"
"0050134060","CST PARIS","CST WHITEGATE"
"0050133999","CST ASH","CST MCBAINE"
"0050134016","CST GRINDSTONE PKWY","CRD BEARFIELD RD"
"0050134019","CST SEVENTH","CST WILKES BLVD"
"0050134057","CST LYNWOOD DR","CST RED OAK DR"
"0050141898","CST OLD HWY 63","CST GRINDSTONE CREEK"
"0050133647","CST HOSPITAL DR","CST HEALTH SCIENCE CENTER DR"
"0050134014","CST BLUE RIDGE RD","CST GREENRIDGE RD"
"0050134039","CST ST CHARLES","CST TOWER"
"0050136638","CST GRINDSTONE PKWY","CST FALLING LEAF"
"0050143453","CST CREASY SPRINGS RD","CST WINGHAM DR"
"0050143455","CST HIGHLAND PKWY","CST ROYAL LYTHAM DR"
"0050144673","CST CURTIS AVE","CST KENTUCKY"
"0050145405","CST TENTH","CST ROGERS"
"0050141900","CST BROADFIELD","CST BROADWAY BUSINESS PARK"
"0050145363","CST BROWN STATION RD","CST PREMIER LN"
"0050130844","CST NIFONG BLVD","CST WOODRAIL ON THE GREEN"
"0050147069","CST AVATAR CT","CST DERBY RIDGE"
"0050143471","CST MILLS DR","CST FORUM"
"0050131489","CST NEW HAVEN","CST LEMONE INDUSTRIAL DR"
"0050144424","CST OLD VILLAGE RD","CST AZOROS DR"
"0050144429","CST CONCORDIA","CST MARTIN"
"0050145422","CST FORUM","CST KATY LN"
"0050134010","CST NEW HAVEN","CST LEMONE IND"
"0050150048","CST ST CHARLES RD","CRD LAKE OF THE WOODS RD"
"0050147067","CST KENNESAW","CST SADDLEBROOK"
"0050143469","CST BETTINA DR","CST TEXAS AVE"
"0050141889","CST NORTHAMPTON","CST BEARFIELD"
"0050148347","CST CHURCHILL DR","CST LARKSPUR CT"
"0050148350","CST WALNUT","CST 8TH"
"0050148359","CST MAGUIRE BLVD","CST LEMONE INDUSTRIAL BLVD"
"0050145353","CST FORUM BLVD","CST MILLS DR"
"0050145391","CST MONITEAU","CST RICE"
"0050143485","CST PARIS RD","CST WHITEGATE"
"0050147073","CST FAIRVIEW RD","CST WORLEY ST W"
"0050150398","CST GILLESPIE BRIDGE","CRD MESA DR"
"0050148344","CST THORNBROOK RIDGE","CST LARGO DR"
"0050144432","CST WYATT","CST MEXICO GRAVEL"
"0050147065","CST JACKSON","UNKNOWN"
"0050145004","CST FORUM BLVD","CST COLONY DR"
"0050145416","CST PEAR TREE CIR","CST SOUTHAMPTON"
"0050141897","CST LOWE ST","UNKNOWN"
"0050141899","CST POINTE DR","CST RAY YOUNG DR"
"0050152018","CRD OLD PLANK","PP OLD PLANK DR"
"0050143473","CST FORUM","CST FORUM PLAZA"
"0050150397","CST SCOTT BLVD","CRD SOUTHVIEW DR"
"0050144628","CST SADDLEBROOK PL","CST KENNESAW RIDGE RD"
"0050145008","CST OLD HWY 63","CST BEARFIELD"
"0050145425","CST LONDON DR","CST JEAN RAE"
"0050151960","CRD PRATHERSVILLE RD","CRD WAGON TRAIL RD"
"1050045421","CST FALLING LEAF LANE","CST GRINDSTONE PARKWAY E"
"0050015035","PVT CHAMPIONS DR","PVT MICK DEAVER"
"0050017663","CST MEXICO GRAVEL RD","RT PP"
"0050017859","CST GREEN MEADOWS RD","CST MEADOWS WAY"
"0050017862","CST WORLEY ST","CST WORLEY ST"
"0050018740","CST BALLENGER LN","CST MEXICO GRAVEL RD"
"0050018760","CST OAKLAND GRAVEL","CST FLEETWOOD"
"0050024027","CST BRICKTON RD","RT WW"
"0050025836","PVT HOSPITAL DR","PVT MONK DR"
"0050027668","CST CAMPUS VIEW DR","CST CARTER LN"
"0050035432","CST GRINDSTONE PKWY","CST CHURCHILL DR"
"0050035690","CRD VAWTER SCHOOL RD","CST SPRING CREEK"
"0050035713","CST HARBOR PARK DR","CST PRESCOTT DR"
"0050040801","CST BETHEL ST","CST SUDBURY DR"
"0050040847","CST GRINDSTONE PKWY","CST BEARFIELD"
"0050048119","CST BROWN STATION RD","CST WEYMEYER RD"
"0050049877","CST BRICKTON RD","CST BROADWAY"
"0050049922","CST STADIUM BLVD","CST BERNADETTE"
"0050053123","CST BEARFIELD","CST GRINDSTONE PKWY"
"0050054714","CST BRICKTON","CST BROADWAY"
"0050061512","CST EIGHTH","CST HICKMAN"
"0050062864","CST BROWN STATION RD","CST BROWN STATION RD E"
"0050062867","CST FORUM","CST CANTERBURY"
"0050062882","CST KODIAK","CST BLUE GROUSE"
"0050065630","CST MEXICO GRAVEL RD","CST HINKSON CREEK RD"
"0050065645","CST RALEIGH","CST CITADEL"
"0050065652","CST WORLEY ST","CST HARDIN ST"
"0050065665","CST BARBERRY","CST GRAYSON"
"0050066765","CST GRINDSTONE PKWY","CST GREEN MEADOWS RD"
"0050073184","CST ROCK QUARRY RD","CST ROLLING ROCK"
"0050074490","CST TROPICAL LN","CST MONSOON"
"0050076509","CST PIERRE ST","CST TREMAINE ST"
"0050083082","CST ASHLAND","PVT BURCH"
"0050084694","CST GREEN MEADOWS PKWY","RT AC"
"0050084705","CST SCOTT BLVD","CST GILLESPIE BRIDGE RD"
"0050084708","CST ASH","CST WEST BLVD"
"0050084727","CST WAVERLY CT","CST HERMITAGE RD"
"0050087299","CST PARIS RD","CST WACO ST"
"0050098360","CST GRINDSTONE PKWY","CST BLUFF CREEK DR"
"0050098363","CST ST CHARLES RD","CST KIPLING WAY"
"0050099401","CST ASH ST","CST BUCKNER ST"
